Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
1.01,1.1,Josh Allen,Josh,Allen,BUF,QB,,,,1,,,Josh Allen BUF QB,QB1
1.03,2.6,Patrick Mahomes,Patrick,Mahomes,KC,QB,,,,2,,,Patrick Mahomes KC QB,QB2
1.03,2.9,Justin Herbert,Justin,Herbert,LAC,QB,,,,3,,,Justin Herbert LAC QB,QB3
1.05,4.8,Jonathan Taylor,Jonathan,Taylor,IND,RB,,,,4,,,Jonathan Taylor IND RB,RB1
1.05,5.3,Joe Burrow,Joe,Burrow,CIN,QB,,,,5,,,Joe Burrow CIN QB,QB4
1.07,7.1,Kyler Murray,Kyler,Murray,ARI,QB,,,,6,,,Kyler Murray ARI QB,QB5
1.07,7.2,Ja'Marr Chase,Ja'Marr,Chase,CIN,WR,,,,7,,,Ja'Marr Chase CIN WR,WR1
1.08,7.8,Lamar Jackson,Lamar,Jackson,BAL,QB,,,,8,,,Lamar Jackson BAL QB,QB6
1.08,8.4,Justin Jefferson,Justin,Jefferson,MIN,WR,,,,9,,,Justin Jefferson MIN WR,WR2
1.11,11.3,Najee Harris,Najee,Harris,PIT,RB,,,,10,,,Najee Harris PIT RB,RB2
2.01,12.5,Dak Prescott,Dak,Prescott,DAL,QB,,,,11,,,Dak Prescott DAL QB,QB7
2.01,13.1,Kyle Pitts,Kyle,Pitts,ATL,TE,,,,12,,,Kyle Pitts ATL TE,TE1
2.01,13.2,Deshaun Watson,Deshaun,Watson,CLE,QB,,,,13,,,Deshaun Watson CLE QB,QB8
2.04,16.3,Javonte Williams,Javonte,Williams,DEN,RB,,,,14,,,Javonte Williams DEN RB,RB3
2.06,17.7,D'Andre Swift,D'Andre,Swift,DET,RB,,,,15,,,D'Andre Swift DET RB,RB4
2.06,18.2,CeeDee Lamb,CeeDee,Lamb,DAL,WR,,,,16,,,CeeDee Lamb DAL WR,WR3
2.06,18.3,Trey Lance,Trey,Lance,SF,QB,,,,17,,,Trey Lance SF QB,QB9
2.07,19.3,Cooper Kupp,Cooper,Kupp,LAR,WR,,,,18,,,Cooper Kupp LAR WR,WR4
2.07,19.4,Christian McCaffrey,Christian,McCaffrey,CAR,RB,,,,19,,,Christian McCaffrey CAR RB,RB5
2.09,20.7,Mark Andrews,Mark,Andrews,BAL,TE,,,,20,,,Mark Andrews BAL TE,TE2
2.10,21.9,Russell Wilson,Russell,Wilson,DEN,QB,,,,21,,,Russell Wilson DEN QB,QB10
2.10,22.4,Breece Hall,Breece,Hall,NYJ,RB,,,,22,,,Breece Hall NYJ RB,RB6
2.11,22.7,Jalen Hurts,Jalen,Hurts,PHI,QB,,,,23,,,Jalen Hurts PHI QB,QB11
3.01,24.8,A.J. Brown,A.J.,Brown,PHI,WR,,,,24,,,A.J. Brown PHI WR,WR5
3.02,25.7,Trevor Lawrence,Trevor,Lawrence,JAX,QB,,,,25,,,Trevor Lawrence JAX QB,QB12
3.02,26.3,Austin Ekeler,Austin,Ekeler,LAC,RB,,,,26,,,Austin Ekeler LAC RB,RB7
3.04,27.6,Deebo Samuel,Deebo,Samuel,SF,WR,,,,27,,,Deebo Samuel SF WR,WR6
3.05,29.0,Matthew Stafford,Matthew,Stafford,LAR,QB,,,,28,,,Matthew Stafford LAR QB,QB13
3.05,29.5,Jaylen Waddle,Jaylen,Waddle,MIA,WR,,,,29,,,Jaylen Waddle MIA WR,WR7
3.06,30.3,Joe Mixon,Joe,Mixon,CIN,RB,,,,30,,,Joe Mixon CIN RB,RB8
3.08,31.9,Justin Fields,Justin,Fields,CHI,QB,,,,31,,,Justin Fields CHI QB,QB14
3.09,33.4,Davante Adams,Davante,Adams,LV,WR,,,,32,,,Davante Adams LV WR,WR8
3.09,33.5,DK Metcalf,DK,Metcalf,SEA,WR,,,,33,,,DK Metcalf SEA WR,WR9
3.11,35.1,Tee Higgins,Tee,Higgins,CIN,WR,,,,34,,,Tee Higgins CIN WR,WR10
4.02,37.9,Stefon Diggs,Stefon,Diggs,BUF,WR,,,,35,,,Stefon Diggs BUF WR,WR11
4.03,38.8,Tyreek Hill,Tyreek,Hill,MIA,WR,,,,36,,,Tyreek Hill MIA WR,WR12
4.04,40.1,Dalvin Cook,Dalvin,Cook,MIN,RB,,,,37,,,Dalvin Cook MIN RB,RB9
4.06,42.0,George Kittle,George,Kittle,SF,TE,,,,38,,,George Kittle SF TE,TE3
4.08,44.0,Travis Kelce,Travis,Kelce,KC,TE,,,,39,,,Travis Kelce KC TE,TE4
4.09,44.8,Kenneth Walker,Kenneth,Walker,SEA,RB,,,,40,,,Kenneth Walker SEA RB,RB10
