birth_city,news_updated,rotowire_id,injury_body_part,gsis_id,birth_date,years_exp,weight,depth_chart_position,high_school,sport,last_name,player_id,birth_state,team,status,number,yahoo_id,injury_status,position,pandascore_id,search_rank,rotoworld_id,search_full_name,full_name,espn_id,height,search_first_name,fantasy_data_id,hashtag,sportradar_id,stats_id,age,practice_description,injury_start_date,injury_notes,depth_chart_order,swish_id,college,birth_country,metadata,fantasy_positions,first_name,active,search_last_name,practice_participation
,,9866,,,1991-04-22,1,285,,,nfl,Booth,2103,,,Inactive,60,27841,,OT,,9999999,,codybooth,Cody Booth,17054,"6'5""",cody,16426,#codybooth-NFL-FA-60,4cd4976e-e230-4935-ad3f-c12876a41350,,27,,,,,,Temple,,,['OL'],Cody,False,booth,
,,,,,,0,330,,Fort Dorchester,nfl,Bryant,6250,,,Inactive,0,32538,NA,DT,,9999999,,eurndrausbryant,Eurndraus Bryant,3916426,73,eurndraus,21183,#eurndrausbryant-NFL-FA-0,9ff46edb-988f-4c8a-ad56-0502808ca1a6,,,,,,,,North Carolina State,,,['DL'],Eurndraus,False,bryant,
,1560221750273,11794,,00-0033922,1993-12-10,5,302,,Charles Drew (GA),nfl,Garcia,4116,,,Inactive,0,30198,,OT,,9999999,12247,antoniogarcia,Antonio Garcia,2972820,79,antonio,18962,#antoniogarcia-NFL-FA-0,a2b6e1f9-1f06-45e3-b6e9-79ec8490e5ef,,28,,,,,,Troy,,,['OL'],Antonio,False,garcia,
,1643570432730,13746,, 00-0035656,1996-08-09,3,324,RDT,Parkway Central (MO),nfl,Saunders,6177,,KC,Active,99,31916,,DT,,9999999,,khalensaunders,Khalen Saunders,3121634,72,khalen,20934,#khalensaunders-NFL-KC-99,757c55e1-2f3a-41d2-a211-16bf577a1586,,25,,,,3,831799,Western Illinois,,,['DL'],Khalen,True,saunders,
,1649223050142,13491,, 00-0035710,1997-05-27,3,230,QB,Charlotte Latin (NC),nfl,Jones,5870,,NYG,Active,8,31838,,QB,,161,13963,danieljones,Daniel Jones,3917792,77,daniel,20841,#danieljones-NFL-NYG-8,0042266b-cb28-4012-bfd2-06650badad97,879981,24,,,,1,879981,Duke,,,['QB'],Daniel,True,jones,
,,,,,1994-04-29,5,210,,Martin Luther King (GA),nfl,Jones,4297,,,Active,0,30454,,ILB,,9999999,,jarnorjones,Jarnor Jones,3892776,75,jarnor,19145,#jarnorjones-NFL-FA-0,508a854c-2fc5-47e1-9376-0151f45963c1,,27,,,,,,Iowa State,,,['LB'],Jarnor,True,jones,
,,8788,,,1990-06-30,7,244,,Warren (AR),nfl,Gragg,1347,,,Inactive,87,26845,,TE,,9999999,,chrisgragg,Chris Gragg,15940,"6'3""",chris,14866,#chrisgragg-NFL-FA-87,36521d92-2c2c-4ae4-9b60-9928c3167e30,465638,30,,,,,,Arkansas,,,['TE'],Chris,False,gragg,
,1565823938203,12777,,00-0034684,1995-02-14,4,194,,Boone (FL),nfl,Townsend,5381,,,Active,0,31143,,P,,9999999,,johnnytownsend,Johnny Townsend,3054971,73,johnny,19995,#johnnytownsend-NFL-FA-0,2eb0706c-3017-4895-a207-71d6fe9e1549,748627,26,,,,,748627,Florida,,,['P'],Johnny,True,townsend,
,1613154322971,7548,,00-0027953,1989-07-24,11,298,C,Lakeland (FL),nfl,Pouncey,1023,,,Injured Reserve,0,24802,,C,,9999999,6478,mikepouncey,Mike Pouncey,13974,77,mike,13698,#mikepouncey-NFL-FA-0,041c36ad-0d7d-4ed1-8157-95092b3027a4,,32,,,,1,,Florida,,,['OL'],Mike,True,pouncey,
,1641673255871,12689,,00-0034266,1994-11-15,4,234,RILB,John Curtis Christian (LA),nfl,Young,5300,,DEN,Active,41,31092,,LB,,9999999,,kennyyoung,Kenny Young,3134310,73,kenny,19926,#kennyyoung-NFL-DEN-41,13a9ad48-6886-4390-b2d8-9c79cda111d1,,27,,,,2,840802,UCLA,,,['LB'],Kenny,True,young,
